ID	Name	Length	G2B2_1	G2B2_2	G2B2_3	I47F_1	I47F_2	I47F_3	logFC	logCPM	PValue	FDR
ENSG00000175161	CADM2	10625	0.542152993	0.259302746	0.21039254	71.70144116	66.08689102	67.84258584	7.67686407	5.076511715	3.08E-88	1.09E-85
ENSG00000197816	CCDC180	14850	0.067769124	0	0	4.822026745	5.913944201	4.419104215	7.512032773	1.561522579	1.41E-40	1.09E-38
ENSG00000184005	ST6GALNAC3	7219	0	0.064825686	0.157794405	15.25228025	17.397331	15.06229887	7.491147906	3.025015794	1.34E-86	4.19E-84
ENSG00000101542	CDH20	4106	0.067769124	0.129651373	0.262990675	27.98872045	29.2252194	28.81753875	7.400414741	4.022065827	1.29E-184	2.16E-181
ENSG00000120251	GRIA2	8659	0.745460366	0.583431178	0.946766432	133.0774555	128.9584337	131.3283084	7.397194758	6.468034474	2.73E-279	1.67E-275
ENSG00000197956	S100A6	1084	0	0	0	1.100680018	0.976087878	1.431540802	7.312296178	1.974759733	5.37E-15	8.99E-14
ENSG00000126947	ARMCX1	2137	0.135538248	0.194477059	0.10519627	22.8522137	21.64618411	21.72207565	7.204609395	3.582116264	3.42E-147	3.31E-144
ENSG00000187258	NPSR1	2935	0	0	0	1.153093352	0.976087878	1.058095375	7.183779049	-1.08815041	4.62E-14	6.97E-13
ENSG00000135218	CD36	9018	0.067769124	0	0	4.769613411	2.928263634	4.232381502	7.167915835	0.255370835	4.20E-32	2.19E-30
ENSG00000169169	CPT1C	4043	0.203307372	0.259302746	0.473383216	45.91408074	45.76129639	46.55619652	7.117518734	4.930937704	4.53E-207	1.39E-203
ENSG00000171033	PKIA	4324	0.542152993	0.453779805	0.420785081	64.62564105	62.64187498	59.75126826	7.034977912	5.212936122	5.65E-167	6.93E-164
ENSG00000144451	SPAG16	8389	0.406614745	0.129651373	0.473383216	39.15276063	38.58417964	39.95866065	6.798228773	4.777871892	2.43E-231	8.92E-228
ENSG00000184867	ARMCX2	5474	0	0	0	0.786200013	0.86125401	0.746890853	6.77321233	2.00619725	2.10E-11	2.40E-10
ENSG00000169432	SCN9A	15008	0	0	0	0.681373344	0.516752406	1.12033628	6.712150547	-0.493849419	3.13E-10	3.08E-09
ENSG00000117069	ST6GALNAC5	4466	0.406614745	0.713082551	0.631177621	63.89185437	58.4504388	57.75955932	6.65420429	5.140061783	1.10E-197	2.52E-194
ENSG00000228824	MIR4500HG	3260	0	0	0.052598135	2.463426707	2.641178964	2.24067256	6.473479064	0.648682077	3.21E-29	1.47E-27
ENSG00000189431	RASSF10	1823	0.067769124	0	0	2.463426707	2.354094294	2.489636177	6.461698219	0.172216955	5.63E-28	2.40E-26
ENSG00000165084	C8orf34	8000	0.067769124	0	0.10519627	6.079946765	5.339774861	6.59753587	6.460227874	0.888273473	2.44E-46	2.37E-44
ENSG00000151789	ZNF385D	7463	0.135538248	0.129651373	0.157794405	13.31298688	12.63172548	12.69714451	6.429091479	3.725305661	9.97E-89	3.59E-86
ENSG00000135333	EPHA7	7439	0.067769124	0	0.21039254	7.757173459	10.33504812	9.211653857	6.393896963	1.570263043	7.94E-43	6.70E-41
ENSG00000198185	ZNF334	7305	0.067769124	0	0	1.782053362	2.813429766	2.24067256	6.360501407	2.787025928	1.21E-26	4.79E-25
ENSG00000183908	LRRC55	5408	0.067769124	0.194477059	0.315588811	14.83297357	16.65091086	16.30711696	6.251954729	2.223618438	2.25E-51	2.76E-49
ENSG00000124785	NRN1	2247	0.135538248	0.194477059	0.10519627	10.06336016	12.17239001	11.32784461	6.222734599	2.915521109	6.12E-88	2.12E-85
ENSG00000146352	CLVS2	11536	0.338845621	0.583431178	0.736373891	40.88240066	39.84735219	43.5063922	6.172938464	4.334924124	5.29E-127	3.89E-124
ENSG00000111885	MAN1A1	5498	0	0.064825686	0.052598135	4.035826732	2.985680567	2.925322509	6.119422725	1.593766777	8.35E-34	4.77E-32
ENSG00000244128	LINC01322	2045	0.067769124	0	0	1.572400025	1.837341888	2.302913464	6.1002922	-0.266889948	2.30E-18	5.08E-17
ENSG00000140090	SLC24A4	9155	0.880998614	0.90755961	1.577944053	71.43937449	72.4601707	89.44017968	6.098737767	4.40808963	3.89E-14	5.96E-13
ENSG00000100473	COCH	3956	0.067769124	0	0.052598135	2.673080043	2.756012832	3.858936075	6.008893077	1.013723088	3.69E-28	1.58E-26
ENSG00000164749	HNF4G	4812	0.203307372	0	0	4.1406534	4.478520851	4.543586024	6.001612343	1.071851209	1.60E-38	1.12E-36
ENSG00000151376	ME3	4149	0	0	0.052598135	1.519986691	2.067009624	1.68050442	5.99114547	-0.01069877	4.62E-21	1.25E-19
ENSG00000198774	RASSF9	1824	0.406614745	0	0.10519627	10.95438684	11.02405133	10.33199014	5.982104758	2.528080513	8.99E-59	1.29E-56
ENSG00000118508	RAB32	1214	0	0	0.10519627	3.092386717	2.928263634	2.863081604	5.954466568	1.700910477	1.39E-30	6.81E-29
ENSG00000185352	HS6ST3	1657	0.135538248	0	0.10519627	6.289600102	5.569442597	4.419104215	5.940955089	1.036413031	6.13E-26	2.29E-24
ENSG00000152503	TRIM36	8190	0.609922117	0.324128432	0.946766432	40.46309399	37.8377595	40.76779241	5.924542592	4.242185918	2.07E-120	1.31E-117
ENSG00000136869	TLR4	5445	0.067769124	0	0	1.729640028	1.952175756	1.307058993	5.919330713	1.515651753	3.82E-19	8.91E-18
ENSG00000005108	THSD7A	12152	0.338845621	0.583431178	0.420785081	26.46873376	26.81370817	28.63081604	5.908172298	3.510474281	6.20E-85	1.75E-82
ENSG00000127955	GNAI1	4483	0.406614745	0.129651373	0.315588811	15.72400025	16.42124312	18.67227133	5.858095812	2.788622753	1.00E-99	4.62E-97
ENSG00000163285	GABRG1	6776	0	0	0.052598135	1.572400025	1.263172548	1.742745324	5.791303939	0.886911238	5.77E-17	1.12E-15
ENSG00000139220	PPFIA2	9544	1.694228103	1.231688042	2.209121674	83.80892136	91.63742665	96.59788369	5.70167709	4.941029783	1.43E-146	1.32E-143
ENSG00000230498	RP4-564M11.2	493	0	0.064825686	0	1.467573357	1.14833868	1.618263515	5.675457353	-0.031779885	1.21E-17	2.49E-16
ENSG00000196096	AC079610.2	1724	0	0.064825686	0	1.25792002	1.665091086	1.244818089	5.654998432	-0.309636641	1.21E-16	2.32E-15
ENSG00000198626	RYR2	17686	0.271076497	0.064825686	0.10519627	6.866146778	8.268038495	7.406667628	5.648134936	1.141673579	1.88E-55	2.54E-53
ENSG00000156395	SORCS3	6154	0.067769124	0.194477059	0.368186946	11.47852019	10.67954972	11.82577184	5.625851235	2.078947002	6.01E-56	8.19E-54
ENSG00000041515	MYO16	8955	0.542152993	0.259302746	0.157794405	13.94194689	16.24899232	15.68470792	5.608004213	2.889812602	1.58E-85	4.77E-83
ENSG00000168843	FSTL5	7886	0	0	0.052598135	1.362746689	0.976087878	1.431540802	5.513462474	-1.015887243	8.02E-15	1.33E-13
ENSG00000100433	KCNK10	6844	0.406614745	0.259302746	0.420785081	16.35296026	16.99541246	15.31126249	5.443811325	4.034433754	1.18E-96	5.04E-94
ENSG00000178235	SLITRK1	5184	0.067769124	0.064825686	0.052598135	3.039973383	2.468928162	2.8008407	5.345465467	0.849752955	1.74E-24	5.92E-23
ENSG00000177519	RPRM	1470	0.067769124	0	0.052598135	1.939293365	1.894758822	1.804986229	5.298069668	-0.180171931	6.12E-19	1.40E-17
ENSG00000165659	NA	6129	0.81322949	1.166862356	1.104560837	43.81754738	38.41192884	40.20762427	5.290841178	5.153120346	6.42E-206	1.69E-202
ENSG00000176076	KCNE1L	1464	0.067769124	0.129651373	0.052598135	3.092386717	3.445016039	3.609972457	5.252460461	0.059640318	4.46E-32	2.32E-30
ENSG00000154645	CHODL	3076	0.406614745	0.259302746	0.157794405	9.172333482	10.56471585	10.39423104	5.203004107	2.08949942	5.36E-55	7.04E-53
ENSG00000186973	FAM183A	831	0	0.064825686	0	0.838613347	0.976087878	1.244818089	5.20201291	-0.947212907	8.03E-12	9.67E-11
ENSG00000131773	KHDRBS3	8278	0.474383869	0.129651373	0.473383216	13.05092021	13.60781336	14.19092621	5.195995391	3.192138255	2.12E-42	1.75E-40
ENSG00000164796	CSMD3	22491	0.338845621	0.648256864	0.578579486	20.59844033	19.17725595	17.61417596	5.161208534	4.962510992	1.19E-126	8.43E-124
ENSG00000272727	RP11-142A22.4	1147	0	0	0.052598135	1.100680018	0.976087878	0.809131758	5.139236868	-1.148351921	2.90E-11	3.25E-10
ENSG00000183230	CTNNA3	11710	0.067769124	0	0.052598135	1.519986691	1.72250802	1.804986229	5.13364342	-0.759422979	4.80E-18	1.03E-16
ENSG00000113532	ST8SIA4	7787	0	0.064825686	0.262990675	4.245480069	3.961768445	5.352717782	5.132749352	1.661147207	1.63E-37	1.09E-35
ENSG00000138411	HECW2	14795	0.271076497	0.129651373	0.631177621	14.09918689	11.6556376	12.82162631	5.115885992	2.233260649	7.95E-79	1.92E-76
ENSG00000204186	ZDBF2	10277	2.100842848	1.685467848	1.998729134	67.9276811	65.91464022	64.73054061	5.094546864	5.412738961	2.64E-196	5.39E-193
ENSG00000145358	DDIT4L	3430	0.203307372	0.194477059	0.21039254	7.442693454	6.717781277	6.908740392	5.062157982	1.482298802	2.66E-59	3.89E-57
ENSG00000261568	RP11-524C21.2	1614	0	0.064825686	0	0.891026681	1.090921746	0.746890853	5.051581945	-0.330319623	6.88E-11	7.34E-10
ENSG00000272066	NA	3191	0	0	0.052598135	0.786200013	1.320589482	0.56016814	5.024762094	-0.820354433	4.90E-10	4.69E-09
ENSG00000138379	MSTN	2819	11.58852023	10.56658689	14.46448715	395.7206731	404.8468016	390.6861571	5.020865279	7.196763738	1.51E-66	2.72E-64
ENSG00000172817	CYP7B1	2274	0.135538248	0.064825686	0.10519627	3.564106724	3.732100709	3.236527031	5.01291055	1.321619076	7.39E-20	1.82E-18
ENSG00000150630	VEGFC	2415	0	0.388954119	0.10519627	5.555813423	4.765605521	6.099608635	5.008240066	0.896164558	1.30E-39	9.63E-38
ENSG00000259705	RP11-227D13.1	1941	0	0	0.052598135	1.153093352	0.803837076	0.56016814	4.953650789	-0.585497302	8.42E-10	7.82E-09
ENSG00000172716	SLFN11	6570	1.490920731	2.074421966	1.998729134	54.30021421	58.68010654	58.31972746	4.934062235	4.156460513	3.61E-48	3.84E-46
ENSG00000185070	FLRT2	5105	0.677691241	0.90755961	0.736373891	20.96533367	22.85193973	26.20342077	4.902383718	2.702433293	4.83E-65	8.37E-63
ENSG00000135447	PPP1R1A	3950	0.338845621	0.648256864	0.788972026	16.2481336	18.37341888	19.85484852	4.898515562	2.381499293	3.55E-28	1.52E-26
ENSG00000235244	RP11-761E20.1	2076	0.067769124	0	0	0.786200013	0.86125401	0.746890853	4.860157494	-0.9891056	3.42E-09	2.94E-08
ENSG00000257467	RP11-121G22.3	1808	0.203307372	0.129651373	0.157794405	4.035826732	4.880439389	5.912885921	4.860105613	0.796721741	1.67E-26	6.47E-25
ENSG00000121207	LRAT	7739	0.677691241	0.453779805	0.578579486	17.34881361	16.24899232	15.62246701	4.83200517	3.493569999	5.09E-85	1.46E-82
ENSG00000253953	PCDHGB4	4574	0	0	0.10519627	1.467573357	1.263172548	1.307058993	4.823038487	-1.002256443	2.04E-15	3.55E-14
ENSG00000250241	RP11-9G1.3	3262	0.677691241	0.388954119	0.473383216	13.99436023	14.92840284	14.75109435	4.81833959	3.383554739	7.77E-85	2.16E-82
ENSG00000156687	UNC5D	10918	0	0.129651373	0.052598135	1.729640028	1.894758822	2.053949846	4.795018611	-0.030270239	4.45E-14	6.75E-13
ENSG00000145087	STXBP5L	11184	0.135538248	0.064825686	0	1.939293365	1.837341888	1.68050442	4.740932095	-0.583396354	5.20E-19	1.20E-17
ENSG00000164841	TMEM74	2872	0.406614745	0.583431178	0.578579486	13.47022688	14.46906737	12.94610812	4.671941249	2.892477136	1.01E-63	1.69E-61
ENSG00000116711	PLA2G4A	2902	0	0.129651373	0	1.415160023	1.378006416	0.809131758	4.661360912	-0.883278667	8.11E-13	1.09E-11
ENSG00000169116	PARM1	5284	0.948767738	1.490990788	1.472747783	28.61768046	32.0960661	36.4109291	4.622657461	3.727858834	8.40E-12	1.01E-10
ENSG00000198795	ZNF521	6373	4.811607814	5.445357661	5.996187401	135.8029489	131.8292804	132.4486446	4.616023642	6.437527486	6.47E-80	1.63E-77
ENSG00000139304	PTPRQ	10332	0.203307372	0.064825686	0.21039254	3.878586729	4.306270049	4.170140597	4.602632147	1.720899005	2.79E-28	1.20E-26
ENSG00000178162	FAR2P2	4209	0	0	0	0.104826668	0.229667736	0.186722713	4.602300871	-0.251161016	0.005538969	0.014824058
ENSG00000184564	SLITRK6	4316	0.067769124	0	0	0.62896001	0.86125401	0.497927235	4.598729296	-0.428581797	5.10E-08	3.71E-07
ENSG00000100311	PDGFB	4129	0.406614745	0.518605492	0.683775756	13.10333355	14.29681656	12.5726627	4.595642716	2.547820433	1.38E-29	6.43E-28
ENSG00000150594	ADRA2A	3868	0.338845621	0.713082551	0.841570162	15.61917359	16.65091086	14.50213073	4.592475677	2.244185992	3.46E-18	7.46E-17
ENSG00000250538	RP11-92A5.2	2279	0	0.194477059	0	1.782053362	1.665091086	1.369299898	4.557627055	-0.303301422	3.11E-12	3.92E-11
ENSG00000158258	CLSTN2	14875	14.57036169	14.26165102	18.67233796	332.5626054	367.4109606	403.6322653	4.536971831	7.197448309	8.23E-15	1.36E-13
ENSG00000154330	PGM5	7403	0.271076497	0.259302746	0.21039254	6.342013436	6.143611937	4.854790546	4.527764765	1.733948455	2.84E-42	2.31E-40
ENSG00000231589	AC009110.1	556	0.203307372	0.064825686	0.052598135	1.886880031	2.8708467	2.8008407	4.524638257	-0.274237858	3.91E-20	9.87E-19
ENSG00000253507	CTD-2501M5.1	979	0	0.129651373	0	1.048266684	0.86125401	1.369299898	4.505312792	-0.438551528	1.36E-07	9.19E-07
ENSG00000168743	NPNT	5639	2.304150221	1.750293534	2.629906755	46.28097408	49.55081403	51.65995068	4.454849942	4.194366103	2.30E-28	9.97E-27
ENSG00000187601	MAGEH1	1460	10.16536862	9.270073161	10.41443075	216.2574168	214.3948315	208.5070299	4.418116622	6.628290157	1.51E-153	1.63E-150
ENSG00000235436	DPY19L2P4	4351	0.135538248	0.129651373	0.052598135	2.725493377	2.181843492	1.991708942	4.407450236	-0.337351781	1.89E-20	4.88E-19
ENSG00000104327	CALB1	6900	1.9653046	1.296513729	2.051327269	31.65765385	38.1822611	40.95451512	4.36997162	4.082091514	2.27E-48	2.44E-46
ENSG00000241956	CTC-340A15.2	5506	0.067769124	0.194477059	0.157794405	3.354453388	3.100514435	2.676358891	4.354807098	1.029400231	2.48E-25	8.95E-24
ENSG00000126950	TMEM35	2568	0.338845621	0.064825686	0.473383216	6.813733444	6.315862739	5.850645017	4.349167255	3.079649151	2.59E-46	2.51E-44
ENSG00000198715	C1orf85	3088	0.271076497	0.194477059	0.157794405	4.455133405	3.445016039	4.91703145	4.341075016	1.601566677	1.94E-34	1.13E-32
ENSG00000008086	CDKL5	3544	0.203307372	0.324128432	0.420785081	8.228893467	5.282357927	6.224090444	4.315898434	1.431202108	4.23E-37	2.74E-35
ENSG00000150471	LPHN3	14061	12.26621147	11.27966944	12.36056175	247.338524	239.7731163	226.9925785	4.31252862	7.37854138	1.30E-94	5.19E-92
ENSG00000125430	HS3ST3B1	5105	2.304150221	2.139247653	1.577944053	37.16105394	38.75643044	40.26986517	4.285623991	5.561473408	8.49E-180	1.30E-176
ENSG00000197083	ZNF300P1	4649	0	0	0	0.262066671	0.057416934	0.062240904	4.249421346	-1.060686362	0.017047252	0.039160765
ENSG00000263177	RP11-433P17.2	949	0.135538248	0	0.052598135	1.62481336	0.689003208	1.556022611	4.244816323	-0.302967309	1.68E-10	1.72E-09
ENSG00000164116	GUCY1A3	5863	3.185148835	4.01919256	3.524075051	65.25460106	68.09648371	65.78863599	4.211129153	5.783493028	3.61E-59	5.22E-57
ENSG00000133134	BEX2	1761	0.542152993	0.777908237	0.894168297	13.47022688	12.86139321	14.93781706	4.182310233	2.903855434	1.16E-75	2.47E-73
ENSG00000176040	TMPRSS7	3029	0.880998614	0.324128432	0.525981351	11.63576019	8.784790901	10.58095375	4.161159265	1.663176088	3.29E-40	2.50E-38
ENSG00000212747	FAM127C	2016	0.609922117	0.713082551	0.631177621	10.79714684	13.03364402	11.39008551	4.157447626	3.375477569	2.97E-77	6.58E-75
ENSG00000242641	LINC00971	8005	0.135538248	0	0	1.100680018	0.746420142	0.684649949	4.157158563	-0.714907396	3.03E-09	2.62E-08
ENSG00000185860	C1orf110	4313	0.135538248	0.129651373	0.052598135	2.096533367	1.779924954	1.929468038	4.153843767	-0.399404398	4.45E-16	8.16E-15
ENSG00000250846	EPHA5-AS1	1731	0.067769124	0	0.10519627	0.995853349	1.14833868	1.493781706	4.152841134	-0.95993565	2.41E-11	2.72E-10
ENSG00000018236	CNTN1	7591	0.271076497	0.518605492	0.631177621	7.704760125	8.440289297	10.14526742	4.150798987	1.361919299	1.61E-44	1.45E-42
ENSG00000185008	ROBO2	14162	7.183527159	8.621816297	7.574131454	139.3146423	138.0877262	137.3034352	4.147987004	5.975401192	8.13E-170	1.07E-166
ENSG00000163618	CADPS	14131	3.862840076	3.306110009	3.261084376	62.79117435	62.64187498	56.51474123	4.125688133	4.834145835	1.85E-76	4.04E-74
ENSG00000162630	B3GALT2	3272	0.406614745	0.324128432	0.368186946	6.079946765	7.119699815	6.286331348	4.122214095	1.900368137	7.93E-22	2.26E-20
ENSG00000137968	SLC44A5	6287	1.897535476	1.750293534	1.998729134	34.90728057	30.14389034	33.79681111	4.120781715	3.488257641	6.41E-78	1.49E-75
ENSG00000222040	NA	3277	0.203307372	0.064825686	0.10519627	2.096533367	2.181843492	2.427395273	4.11138103	-0.242635733	4.34E-21	1.18E-19
ENSG00000196091	MYBPC1	7348	0.203307372	0.518605492	0.578579486	7.495106788	8.153204627	7.468908532	4.088880326	1.328521322	7.86E-52	9.71E-50
ENSG00000260244	RP11-588K22.2	2614	0.81322949	0.777908237	0.420785081	10.84956018	10.73696666	12.01249456	4.08108351	3.303613767	8.03E-51	9.46E-49
ENSG00000185149	NPY2R	3956	0.067769124	0.194477059	0.10519627	2.201360036	2.526345096	1.804986229	4.079462595	0.184482744	3.49E-14	5.39E-13
ENSG00000259070	LINC00639	5158	0.474383869	0.648256864	0.473383216	9.224746816	8.612540099	9.336135665	4.074106806	1.757242593	1.13E-10	1.18E-09
ENSG00000185737	NRG3	5876	1.287613359	0.583431178	0.683775756	13.05092021	13.72264722	15.87143063	4.07276021	2.203447956	6.63E-63	1.07E-60
ENSG00000184349	EFNA5	6083	0.338845621	0.388954119	0.315588811	5.870293428	5.569442597	6.03736773	4.044793435	1.622630739	1.42E-28	6.28E-27
ENSG00000146938	NLGN4X	7299	2.981841462	3.176458636	3.313682511	56.02985424	49.20631243	48.79686908	4.016515356	5.616561639	1.35E-177	1.90E-174
ENSG00000198865	CCDC152	3489	0.067769124	0.129651373	0	1.362746689	0.803837076	1.12033628	4.015192307	0.906925806	1.32E-10	1.37E-09
ENSG00000198932	GPRASP1	6529	0.067769124	0.129651373	0.052598135	1.205506686	1.090921746	1.991708942	4.005898471	2.4476953	8.66E-12	1.04E-10
ENSG00000237457	LINC01351	604	0.203307372	0.259302746	0.157794405	4.088240066	2.985680567	2.987563413	4.000349671	1.968631971	7.82E-26	2.89E-24
ENSG00000250722	SEPP1	5127	0.948767738	0.194477059	0.841570162	10.1157735	10.90921746	10.89215828	3.978237418	2.385837262	2.00E-37	1.32E-35
ENSG00000198908	BHLHB9	5623	1.084305986	1.037210983	1.314953377	19.81224032	17.397331	17.67641686	3.976818234	3.62266358	3.14E-78	7.40E-76
ENSG00000019582	CD74	3295	0.203307372	0.064825686	0	1.62481336	1.090921746	1.431540802	3.967456707	-0.702614219	2.28E-12	2.93E-11
ENSG00000182568	SATB1	11311	4.811607814	5.250880602	5.78579486	76.94277458	83.42680509	81.09989848	3.9204154	5.064652703	8.88E-186	1.63E-182
ENSG00000176293	ZNF135	5764	0.067769124	0.129651373	0.10519627	1.25792002	2.067009624	1.556022611	3.904962895	0.175988843	6.85E-11	7.32E-10
ENSG00000248749	RP11-42A4.1	699	0.067769124	0.259302746	0.052598135	1.886880031	2.00959269	1.867227133	3.895489281	-0.522495839	3.02E-16	5.63E-15
ENSG00000198915	RASGEF1A	7788	0	0.129651373	0.21039254	1.886880031	1.894758822	1.867227133	3.884556628	-0.135083636	2.30E-11	2.62E-10
ENSG00000182836	PLCXD3	14350	0.135538248	0.129651373	0	1.25792002	1.033504812	1.618263515	3.873050678	-1.000826436	5.55E-11	5.99E-10
ENSG00000137142	IGFBPL1	1088	0.203307372	0.129651373	0.10519627	1.834466696	2.00959269	2.738599795	3.867017549	1.227516223	1.61E-19	3.88E-18
ENSG00000175497	DPP10	9967	0.203307372	0.064825686	0.157794405	1.834466696	2.181843492	2.427395273	3.842358427	-0.267014432	1.08E-17	2.23E-16
ENSG00000171246	NPTX1	7212	14.09597782	15.81746749	22.98538504	232.8200304	256.2517764	269.8143207	3.841156403	6.888528155	3.90E-15	6.61E-14
ENSG00000214688	C10orf105	9563	0.135538248	0.194477059	0.262990675	3.668933393	2.468928162	2.738599795	3.824653631	0.200792645	1.26E-20	3.31E-19
ENSG00000155926	SLA	8554	0.135538248	0	0.052598135	1.519986691	0.689003208	0.622409044	3.814156114	-1.104428746	2.37E-08	1.81E-07
ENSG00000139915	MDGA2	10125	0.135538248	0.129651373	0	1.415160023	0.803837076	1.493781706	3.806281603	0.134682434	1.32E-11	1.55E-10
ENSG00000198155	ZNF876P	1656	0.135538248	0.064825686	0.10519627	1.519986691	1.665091086	1.307058993	3.790751364	0.1713515	4.13E-14	6.29E-13
ENSG00000163492	CCDC141	17305	0.271076497	0.324128432	0.157794405	2.620666709	3.445016039	4.294622406	3.771567846	0.676923853	1.57E-19	3.79E-18
ENSG00000223839	FAM95B1	5646	0.271076497	0.194477059	0.21039254	3.039973383	2.928263634	3.423249744	3.760685674	0.239973821	4.88E-26	1.83E-24
ENSG00000165566	AMER2	12355	0.271076497	0.259302746	0.315588811	3.564106724	3.904351511	4.232381502	3.743490522	1.4072679	7.25E-19	1.65E-17
ENSG00000250312	ZNF718	3988	0.135538248	0.194477059	0.157794405	2.306186704	2.526345096	1.929468038	3.738059359	0.7456456	1.04E-20	2.73E-19
ENSG00000248528	CTC-458G6.2	703	0.135538248	0.194477059	0.21039254	2.306186704	2.468928162	2.738599795	3.728502853	0.103558767	7.03E-09	5.79E-08
ENSG00000204876	AC021218.2	2534	0.406614745	0.388954119	0.420785081	5.450986755	5.569442597	5.103754164	3.702106594	1.061245862	2.65E-30	1.28E-28
ENSG00000205045	SLFN12L	5091	0.338845621	0.129651373	0.10519627	2.568253375	2.756012832	1.991708942	3.68253379	-0.059836072	1.45E-17	2.98E-16
ENSG00000165935	SMCO2	1969	0	0	0.157794405	0.943440015	1.090921746	0.497927235	3.662682469	-0.785702769	2.07E-07	1.37E-06
ENSG00000151079	KCNA6	10211	0.677691241	0.518605492	0.894168297	7.809586793	8.957041702	10.14526742	3.646681027	1.394086674	1.06E-40	8.20E-39
ENSG00000198796	ALPK2	9415	0.203307372	0.259302746	0.315588811	3.039973383	3.215348303	3.858936075	3.638461755	1.665173792	4.39E-18	9.42E-17
ENSG00000136918	WDR38	1243	0.135538248	0.129651373	0.052598135	1.25792002	1.43542335	1.369299898	3.63717818	-0.70095543	4.82E-11	5.25E-10
ENSG00000196932	TMEM26	7367	0.067769124	0	0.052598135	0.524133342	0.803837076	0.435686331	3.635696432	-0.987611394	2.80E-06	1.53E-05
ENSG00000262118	RP11-433P17.3	1527	0.203307372	0.064825686	0.052598135	1.467573357	0.689003208	1.867227133	3.617513286	-0.172619934	1.36E-09	1.23E-08
ENSG00000162670	BRINP3	4895	0	0.064825686	0.052598135	0.471720008	0.57416934	0.684649949	3.599760874	-0.089822172	1.86E-05	8.76E-05
ENSG00000152760	TCTEX1D1	2964	0.203307372	0.064825686	0.157794405	1.729640028	1.378006416	2.302913464	3.594790102	-0.473540143	1.25E-09	1.14E-08
ENSG00000186439	TRDN	9081	0.135538248	0.064825686	0.052598135	0.681373344	0.976087878	1.556022611	3.582820396	-0.73531648	1.85E-09	1.64E-08
ENSG00000085871	MGST2	3415	0.135538248	0	0.315588811	1.62481336	2.067009624	2.365154369	3.574406359	1.489813273	1.96E-16	3.71E-15
ENSG00000102349	KLF8	9534	0.609922117	0.324128432	0.21039254	5.450986755	3.272765237	4.419104215	3.547928645	1.866070155	9.27E-23	2.79E-21
ENSG00000138622	HCN4	7220	1.694228103	1.750293534	2.419514214	23.74324038	21.18684864	24.39843454	3.546654359	2.835286691	7.36E-36	4.50E-34
ENSG00000139767	SRRM4	8818	0.474383869	0.648256864	0.420785081	6.918560112	5.110107125	6.099608635	3.544748724	1.528034488	1.10E-13	1.61E-12
ENSG00000169744	LDB2	6745	2.507457593	2.91715589	2.9980937	30.87145383	31.9238153	35.91300186	3.541060843	3.199284765	8.38E-84	2.23E-81
ENSG00000166147	FBN1	15789	1.9653046	2.268899026	2.840299295	27.77906712	28.19171459	27.44823886	3.537523191	3.714655307	1.77E-106	8.77E-104
ENSG00000259920	RP11-2E11.5	2901	0.067769124	0	0.10519627	0.838613347	0.746420142	0.746890853	3.526608047	0.049869362	2.22E-08	1.70E-07
ENSG00000138650	PCDH10	8543	35.78209755	35.97825598	37.23947965	445.1988605	422.760885	387.0761847	3.524900231	8.283794493	7.71E-75	1.63E-72
ENSG00000173452	TMEM196	6700	0	0.194477059	0	0.681373344	0.918670944	0.746890853	3.523848926	-0.269219159	8.26E-08	5.82E-07
